#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=6000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:75 out:75 type:B dur:2 cpbdur:2 q:18.76 aq:8.70 tex:18511 mv:3921 misc:992 imb:78 pmb:341 smb:7741 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:18.90 aq:13.70 tex:11757 mv:3524 misc:919 imb:41 pmb:321 smb:7798 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:18.89 aq:14.42 tex:6336 mv:3379 misc:973 imb:47 pmb:266 smb:7847 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:18.04 aq:2.75 tex:47096 mv:3178 misc:702 imb:404 pmb:189 smb:7567 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:18.57 aq:6.94 tex:11569 mv:3009 misc:966 imb:95 pmb:284 smb:7781 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:18.73 aq:7.32 tex:8623 mv:3305 misc:952 imb:70 pmb:257 smb:7833 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:18.73 aq:6.13 tex:2245 mv:1658 misc:801 imb:33 pmb:147 smb:7980 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:17.96 aq:5.62 tex:50951 mv:3106 misc:799 imb:228 pmb:206 smb:7726 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:18.27 aq:12.13 tex:10456 mv:2614 misc:818 imb:25 pmb:225 smb:7910 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:18.27 aq:13.21 tex:2887 mv:1523 misc:710 imb:36 pmb:113 smb:8011 d:s ref:0 ;
